Reviewer Name,Reviews
JTC,"Upgraded as my previous sport watch tracked mileage on a run by the number of steps.  Run faster with a longer stride, and the distance was longer than if I ran slower with a shorter stride.  Having GPS built in solves that problem and I have found it to be pretty accurate and very consistent with this watch.  I also like the built-in storage for music, as I don't have to pull out my phone to change songs or volume, or even pause.  I also like being able to see text notifications and even incoming calls to see if they can be ignored until later while I'm on my phone. Actually, I'm using the feature more and more throughout the day, not just when working out.  The watch face I downloaded from them (Sporty Data) has all the info at a glance that I want- time, temp, heartrate, charge and number of steps.  I'm getting about 2 days on a charge, but my setup is pretty battery demanding - always on (by schedule for hours I'm normally awake) GPS during outdoor running and walking, using it as an MP3 connected by Bluetooth to my wireless earbuds, plus connected to the phone for calls, notifications, weather etc., and also monitoring steps and heart rate.  The app has a lot of features that I use and check regularly -heart rate, stress level & blood oxygen.  I also like the way it tracks my workouts so I can better manage my info from workout to workout.  Glad I spent more than originally planned and got this model vs some with less features."
Amy Rether,The fitness aspects of this watch are amazing. There's way too many to list but it does just about anything you'd need a fitness watch to do. GPS works well and you can go back and look at the map on your phone afterwards. I think the best function is the battery life. Seems to never need charged despite always be used (and my little ones pushing the buttons to light up the screen). My biggest complaint is the music feature. It's actually one of the main reasons why I picked the pro model. It showed Amazon music and Spotify as music companions but that's hardly the truth. I know it can't stream music through the watch but downloading a song onto it is impossible. Those apps don't let you actually download a song so how can I do so in order to move it to my watch? Pretty bummed about that.
ron2714,"They never respond on the Zepp App, I wish I had a choice."
Mark Woollacott,Todo muy bien y funcional
Kira Rebeaud,Satisfecho en lo personal...
Emilio Antonio Miguel Landestoy,I never write reviews but i had to for this one. I was an apple fanboy with an apple watch se before. this watch officially lasted 15 days on one charge with moderate to severe use. I used it for the workout apps as well as linked it to my apple health stuff and it worked just as well as an apple watch. I would only suggest you really go into which notifications you want from your phone so its not vibrating every 3 seconds and look through all the settings as you're charging it for the first time to really tune what you want the watch to do. also get a little screen protector if you're at all active.
JOALDY,The Watch is very nice but I want to use the bluetooh call feature and it was imposible.My phone and watch are connected but nothing happend when I try to make a call from the watch or the phone.
Giovanni Bustamante,"I had a very cheap smart watch and it was fine for a year or so. But then it started losing battery life. So I started looking for another, maybe with wireless charging. I stumbled upon this one and after reading the description, questions, and reviews multiple times, I decided to go for it. I was a little bit concerned about size, since the one I had was 40mm, but this thing is great! It has almost everything I wanted pre-installed (spO2, pedometer, always on display, read messages) it also has add on apps that have everything else. Even a great pong game!So it's definitely worth a try. Just do it. 😁"
Ricardo R,"This is a great watch for the price. It does everything as advertised. Clear, large display and though it doesn't come with much instruction, the operating system is very intuitive. Very good product."
Kindle Customer,"I saw many positive reviews and was looking for a smartwatch with a good battery life.  I was also looking for a ""smart"" smartwatch more than a fitness tracker.  This watch seems to have one foot on each side of that fence.The Good;Easy to sync with my Android phone.  Has a great battery life.  Looks good on my wrist.  Comfortable.  Alexa works great.  Has a nice selection of faces.  You can do almost everything from inside the phone app instead of having to use the watch to make setting adjustments.  You can answer phone calls right on the watch.  You can receive texts on the watch.The Bad;1-Doesn't sync with calendar.  I have the Samsung calendar on my phone normally but I also downloaded the Google calendar app.  Won't sync.  It has a calendar of it's own but doesn't sync with the one on your phone.  Apparently this is a known issue.  2- Can't reply to text messages.  You can see texts when they come in but you have to use your phone to reply.  Also can't send text messages, at all.  3- The phone app only lets you sync 50 contacts, total.  It only lists them alphabetically and doesn't allow a ""favorites at the top"" feature.  I also haven't gotten the watch to make a phone call using any of these synced contacts.  You can make a call by bringing up the dialer and inputting the number directly but at that point you might as well use the phone.Bottom Line.The only thing this watch does that watches $100 less don't do is answer phone calls.  I have a Ticwatch Pro 3 GPS that does everything this watch does plus sending texts, answering texts, and syncing with my calendar. Oh, and it cost me the same as this watch did. The battery only lasts for 2 days which is why I wanted to try out this watch but I'd rather charge once a day than lose those features. So I'll be returning this watch and hoping they can add those features at a later date."
Michael P,"--- Update: The amazfit support team reached out to me and found a workaround for setting up an account. I am updating my review from 1 star to 5. Thanks for the support.I never leave reviews, but these people have really pissed me off, and have taken a lot of my valuable time with no solutions.You'll need to go to hell and back if you need support on this product. I was excited to receive my watch this morning. I was trying to set up the app on my iphone in order to use the watch. But the app consistently crashes during the account setup prompts. Mind you, my iphone 13 is brand new with no issues. As such, I am not able to use the watch (no account on the Zepp app = no watch use).They have outsourced their support to amazon which can only help with generic issues that exist in the amazfit helpdesk found online. They simply share the most likely link with you that they think might be helpful. Its horrible. I was finally given an email to amazfit's support. They have yet to respond. Now I have a piece of good looking hardware that I cannot use."
Lynda S,"Muy buen producto, y buena compatibilidad con iOS."
JTC,"After trying out their older GTR2 I was specifically recommended from the manufacturer to upgrade to the GTR3 to get the features I needed.  But this model has several issues. First the watch face I had on my GTR2 isn't available on the GTR3.  Okay fine, I'll find something else. But to that point their claim of over 100 watch faces is not true, and most of the ones available are horrible and cheesy. I've yet to find a lock-screen watch face with a second hand, which the manufacturer said was there(and why I upgraded), but they can't tell me which ones and instead I've got the go through all the faces available on their store to find it? The new Zepp OS in this watch has several issues. Despite me setting the watch-face ""on"" time to 30 seconds, this doesn't happen. It will frequently turn off in about 3 seconds, very rarely does it stay on for 30 seconds. Probably the worst issue with this watch is when you turn on a workout mode the watch face disappears and and clicking the main crown button brings up a workout menu, not the watch face! The older GTR2 allowed this, pushing workout mode to the background so I could see more metrics with a watch face.  Sometimes an incoming notification will 'confuse' the OS and I'll get the watch face back, but  will usually end up stuck in the workout mode. Basically an unusable watch during the entire workout. I consider the OS in the GTR3 a step backwards. I'll probably keep it and hope they fix these issues. But I've emailed and opened several tickets with them and have never heard back. Also using the phone's app to report an issue is a waste of time and only triggers an email asking you to go to their website to fill out another ticket. Disappointed overall, hoping they'll fix these issues. At least Christmas shopping on Amazon allows for a return period through January, so I may still end up sending it back. If they fix any of my issues I'll  update this review."
