Reviewer Name,Reviews
B,"I tried wrist pedometers 10 years ago, they sucked, pretty much all gimmick. Fitbit seems to have upgraded considerably and have the more modest of ""smart"" watches, i dont like a giant bezel on my wrist so this fit the bill more so than the rest. Heart rate looks accurate, step counts are way better than my old surge (it would count steps as i was typing on a keyboard). Activity tracker is pretty cool and convenient. Timer is nice for cooking/meal prep. Calendar reminder is really awesome for keeping me on schedule! The only feature on the versa3 that i find useless is fitbit pay.... None of my financial institutions are accepted. Not really a deal breaker for me, and i did not want to pay an additional $100 for the sense2 to get it. I dont do much with the gps, and turned off all notifications except txt msgs, and calendar reminders, so the battery lasts a solid 6 days"
L. Rice,"I've never had a smart watch before, so this is a new experience for me.  I've owned it over 2 months, and so far so good.  It notifies me via email that my battery is getting low.  It needs recharged around every 5 days.  It doesn't take long to re-charge, but it isn't as fast as my husband's apple watch (20 minutes), however, he has to charge his every day.  I got this to check heart rate while doing some intense walking, and it does what I need it to do.  The fact that it shows me texts from my iphone is a nice bonus."
B,"I bought it after having a stoke and the doctor wanted me to count my steps. I needed to reach 10,000 a day. So glad I purchased it and the premium plan. It has helped change my sleep, made me more aware of my day to day activity. I track my sleep and exercise as well as my water intake and of course my heart rate. I love the relax button to slow my breathing and calm down. I only take it off to shower and charge it.  Absolutely LOVE my Fitbit!"
Mill5,"I have been using Fitbit devices for nearly ten years.  While I have been satisfied over the years my satisfaction has been lessoned over the past 3 years because of a lack of progress with Fitbit devices.  Fitbit devices today are made for people who want to track steps counts through the day and occasionally track a moderate workout.  Current devices are not made for anyone tracking a serious workout.Below are my perceptions of the basic functions of the watch.  Rating each on a 1-5 or NA (Not Applicable) scale.  The reasons for NA to be included are explained.Fitbit Application (4) - The Fitbit App is great.  One consolidated place to track my meals and workouts including everything from activity to corresponding heart rate during the workout.  The only reason it would not get a 5 is that it's only as good as the data it gets, and Fitbit restricts input to only their devices.  There are ways to import data through other integrated apps but none of them get the raw data in its mist useful and meaningful form.  If Fitbit would accept data from other devices, I would be willing to pay for the premium service but that does not seem to be part of their plan.Step Counter (5) - Fitbit is still the king of step counting.  Seems to be the most accurate still although most smartphones can come close.Workout tracking (2) - Tracking is typically a manual task but if the heart monitor detects an elevated heart rate for a period it will attempt to guess what you’re doing.  It can make mistakes and on occasion has detected an hour on the lawn mower as a long bike ride.Stairs (NA) - Fitbit says it can track the number of flights of stairs you have climbed.  I find no evidence that the number of stairs climbed is anything more than a random number generator.  I climb two short flights of stairs daily and have been recorded climbing over 150 flights of stairs on occasion with 75 being a daily average.  Putting the Fitbit device under a common restroom hand dryer can add flights of stairs quickly.  This is not a real measurement.Miles (4) - While this is accurate when walking outside it will track miles for walks internally using step counts and an estimate stride.  Seems pretty accurate but I am not really sure I should be getting miles credited for time spent on a rower.Calories (3) - This seems to be pretty accurate based on the data it has and helps me maintain a deficit of calories.Stress (2) - This seems nice but is a subjective measurement.  I can be in the middle of major problems and it will tell me I have little or no stress.Heart Rate (2) - This is perhaps the most disappointing feature in this device.  Fitbit tracks your heart rate and provides feedback on your heart rate in the form of Zone minutes which assess your daily exercise and activity.  This data is also used to determine your calories burned and how many calories you can consume to reduce or maintain your weight.  This feature works for low to moderate activity.  If you are an active person the Versa 3 will not accurately track your heart rate, not even close.  I had some much trouble getting an accurate reading that made sense that I purchased a Polar H10 with a chest strap to compare data and the results are kind of embarrassing for Fitbit.  I row for 75 minutes on a concept 2 rower with the resistance set to the maximum level (10).  While my H10 shows my heart rate being consistent my Fitbit will show my heart rate as lower, sometimes by 50 beats per minute (bpm).  At these rates you can manually check your own heart rate for comparison to both devices and the H10 is far more accurate.  This would not be a problem except for the fact that the Fitbit app will not accept accurate input from the more accurate device.  For the same workout my zone minutes can fluctuate from 50 to 150 in the same week with heart rate measurements on the H10 that are remarkably consistent.With the less accurate heart rate tracking and the corresponding lower zone minutes the app will record your activity levels as lower and reduce your calorie intake accordingly.  Thus, an inaccurate heart rate literally takes food out of your mouth.  While some might say that allowing you to eat less through this inaccuracy will help you lose weight faster most folks on a diet would still express unhappiness.After 10 years of Fitbits, I have decided to give the Apple Watch a try.  Apple Health and some other applications will accept input from the H10 and the Apple watch.  I can track food intake with MyFitnessPal.  I am hoping these things combined will allow me to meet my goals until Fitbit can either improve their accuracy or allow input from more highly specialized devices.In fairness, I have lost 70 lbs. and kept it off for 5 years and during that time I have been using Fitbit devices, so clearly, I have been successful with Fitbits.  I am hoping that I can move a little father with more accurate data and less frustration."
Yolanda,"The Fitbit APP:I'm pretty technologically efficient. I can mod games, I'm the one who fixes all my friends and families phones and devices when they break. I'm the one people come to app advice and help. And this app frustrated me so much at first. It isn't very user friendly. Setting up the watch and connecting it was so smooth and wonderful! But personalizing the watch (watch faces, apps, settings, etc) was frustrating to figure out. Once I figured it out though, it became super easy and manageable and its easy to read the stats on!Watch:The watch is sturdy, feels good on the wrist and doesn't hurt or get hot. The box comes with a second band that's slightly longer in case you, like me, have a larger wrist! So that was nice! And changing the band was easy once you read the instructions XD. The watch is fast, smooth, and works extremely well. I'm very happy with the functionality I got for the price I paid. Its very very nice and I highly Recommend. The band that comes with it doesn't slip or turn. It looks very sleek and is highly customizable once you learn how to do everything. Very very pleased.The watch gets 5 of 5 stars.The app gets 3 of 5 stars."
L. Rice,"The Versa 3 has an easy to read screen, and navigation through the menus is easy enough.The watch band is not my favorite. The material is 'grippy', and the holes are spaced such that I find myself constantly tightening or loosening the band throughout the day. If I go one notch tighter, the watch becomes uncomfortably tight. If I go one notch looser, the watch slips down resulting in a nagging 'irritation' that something is hanging off my wrist. I have already ordered some replacement bands to try.The magnetic charger is neat. Magnetic polarity prevents incorrect alignment and aids in quick proper alignment. Day three, and the watch still doesn't need charging, showing half-full on the battery meter on the FitBit website. The connecting cord for the charger is irritatingly short. C'mon FitBit; a $230 watch, and you cannot spring for a two-foot cord for the charger?This brings me to my discussion of the FitBit app, website, device setup, etc.First: setup is horrible, worse even. If the device encounters anything it doesn't like during the setup process, you may find yourself stuck in FitBit setup loop.After multiple attempts to setup the device with my phone, then my laptop, then either... add device, delete device, power off everything, wash rinse repeat.I visited the FitBit web site for support, and went into ever-lasting 'hold' awaiting tech support. Meanwhile, I did exactly as they wanted, and spent @ 1/2 hour viewing posts in their forums. I finally found a post that was similar to mine, and the poster provided what was a breakthrough solution for me.Basically, once the FitBit device pairs with a phone, reboots of the phone retain the information. After the first pairing, the info was saved. Subsequent attempts to pair failed ""Pairing rejected by Versa 3"".The solution? On the phone, go to settings, apps, FitBit app, then force-quit the app.Next, uninstall the app, reboot the phone, reinstall the app, then re-pair with the watch.FYI: I have GB internet, and the download of the FitBit took @ 15 minutes each time. Thinking my internet was bad, I tested downloads from other sites, all was well.The setup and configuration process was horrible - so bad, I am holding open my option to return the device within the allotted time frame.The phone app is deeply intrusive; to enable all the features of the FitBit, it needs access to nearly everything on your phone. if you want to use Google Assistant or Amazon's Alexis, your device must be wide open for the FitBit. If you are concerned about privacy, these options are probably a deal breaker.The FitBit Versa 3 is designed for apps. Some apps are free, some cost money. The music feature requires a subscription to a streaming service.I have a decent Motorola phone, and have had no troubles with it - ever. After installing the FitBit app, I have had the phone flake out on me twice so far. I actually had to uninstall and reinstall other apps after installing the FitBit to overcome the issues. And now my phone is using @ 20% more battery, even if I do not intentionally interact with the Fitbit app; it is always running, monitoring everything.Easy to read color display. Many features. Available apps.Crap band. Crap software. Intrusive software. No support. Terrible installation. Slow downloads.Short charger cord.Many features require use of the website or Wifi. Yesterday the ""Find My Phone"" feature worked fine on the watch. Today it was unable to run. I restarted the watch, and it was then able to run.Navigation on the watch's touch screen takes some getting used to. For many menu items, swiping one direction takes you there, swiping the reverse direction may or may not take you back, depending upon how deep you are into the menu, feature, or app.The haptic button on the watch takes a bit of practice to use effectively, and it can be awkward to reach across the watch and get your thumb placed 'just so' to activate this 'non-button, button'.This review is an account of my experiences so far with the FitBit Versa 3. As much as I want to like this device, it is as if FitBit has gone to extremes to make this a challenge.Respectfully submitted."
Wyn,"                    The media could not be loaded.                 My Versa 3 was at 32% battery life when I received it. I plugged it in for the recommended 1 to 2 hours. The first hour I had no charge still so I switched USB ports and let it charge for another hour and the battery life continued to go down. The charging icon doesn't show up. The charging adapter is magnetic and only allows you to attach it to the device one way so it is definitely connected properly.  I am very disappointed, I have had the Inspire 2 for years but its a simple model and the display is difficult to see when outside in the sun. I debated on getting the updated Inspire 3 because they improved that feature but I decided on the Versa 3 because of the smart watch features.I have read reviews with others not being able to charge the Versa 3 having success with aftermarket chargers so I purchased one and will update the review once I receive it. But for now all I can say is it looks like it will be nice but I have it shut off to preserve the battery and havnt used it yet.**UpdateI got my aftermarket charger from Amazon and it charged in less than an hour. At 1pm yesterday it had full battery life and today at 7:45am its at 81%. I use it to track my sleep, log workouts, count calories, and log food so far everything is working very well. I am giving it 4 stars because the hassle I had to go through to get a working charger."
Wyn,This is the Versa-3 which helped in diagnosing my AFib just about a year ago. I'm on now under Doctors Care and monitored quarterly.Looking forward to purchasing the newest versions soon.
CCSWebWeaver,"I used this smartwatch for 2 months before writing this review. I'm a mountain biker and I've been using heart rate monitors for years, mostly the Polar line of watches and chest straps. A few years back I decided to try the first Fitbit Versa, as I wanted to see if a smartwatch could work as a good heart rate monitor during workouts as well. That Versa didn't work, the heart rate was inaccurate and all over the place, so I just kept using my Polar accessories, until this new Fitbit Versa 3 came along.I have tried this Fitbit Versa 3 on rides outdoors and on Spinning sessions indoors, and this is what I've experienced:- Outdoor rides: the GPS works almost flawlessly, the signal gets lost in the woods and around large buildings and large hills, but it comes back to normal quickly. The interface is gorgeous, clean, clear, easy to read, easy to handle during rides, fantastic in general but there's just one big problem, no matter how beautiful and easy to use is this, the heart rate monitor doesn't work. I ride on the same hilly areas all the time, I know how my heart rate behaves in certain hills and roads, up certain steep hills it gets all the way up to 200 bpm, but this watch NEVER once showed that number, it gets to 175 bpm and then it goes blank, the reader cannot handle a faster heart rate, it just goes crazy and stops working, then as I'm climbing the end of the hill it shows a 120 bpm number, which is the heart rate I get when I'm casually walking. Completely inaccurate and all over the place. The maximum heart rate this watch has read during my rides in 2 months is 176 bpm after an uphill that usually makes my heart go up to 200 bpm. After many times of bad readings, I tried both my Polar Ignite and this Versa 3 at the same time during my rides, and the difference was outstanding, the Polar (without a chest strap) was giving me all the right readings flawlessly while the Versa 3 was blank or inaccurate or all over place. All the same problems happened during my running and hiking workouts.- Spinning sessions: during Spinning sessions my heart goes up to 196/ 200 bpm, the Fitbit Versa again got stuck at 170/ 175 bpm and then went blank, and it was giving me bad readings the whole session, always below my actual heart rate, therefore messing up my stats and saying that I burnt a LOT less calories than I actually do. In the photo I'm attaching the Polar Ignite (left) shows my real heart rate and calories burnt during a workout, while the Versa 3 (right) shows the wrong heart rate and the wrong calories burnt, if you see the numbers, they are completely different. I've used this watch for 2 months and tried everything to make it work, all troubleshooting options , but nothing made the heart rate reader work properly.If you take your workouts and stats half-serious, this is not the watch for you, it works fine during casual workouts, like walking or gardening or doing light exercises that won't take your heart over the 180 bpm threshold, once you are higher that that the Versa 3 goes berserk, it cannot read anything faster than that.I'm sticking with my chunky, not-too-cool Polar watches, they may not look as beautiful as the Fitbit products, but they are hard working and completely accurate when it comes to tracking my heart rate, workouts and sports.After wearing this Fitbit Versa 3 smartwatch for 2 months:- The good: AMAZING battery life, about a week or so depending on your settings, beautiful interface, not many apps to use but enough for my usage, as I prefer to use my cellphone for apps in general, light and comfortable to wear, the new strap is cool and comfy, good to track steps, stairs and regular day long activity.Good and accurate GPS without the need for a cellphone. I never used the Alexa option so I cannot comment on that. I tried to respond to my text messages with the voice/dictation option (the watch has a microphone) and didn't work, it may be because I have an accent, who knows, but I think that option is pretty cool. FANTASTIC cellphone app to handle all your info and data.- The bad: AWFUL as a heart rate monitor, awful at sleep tracking, according to this watch I'm a zombie who sleeps 2 hours and has no heartbeat the rest of the night, some nights it won't even track one minute. Yes, I've tried wearing it higher or lower on my wrists, the left one and the right one, none of that made a difference.I hope that at some point Fitbit gets the right technology to make the heart rate reading sensors accurate (like other brands have already done), that'd make it an almost perfect smart watch and real activity tracker. I wish them the best, they are doing a great work with most of their products and one can see the effort and love they put on the things they create, except the damn heart rate sensors! ;)"
LaCray ,"It does everthing I want it to, but it would work better for me if I could see the results if I could increase the font size. I don't wear my glasses all the time."
