Reviewer Name,Reviews
donna bullard,"You can customize just about everything on this watch, and for those who dont know how to perform the wear os 3 update properly, patience is key and so is keeping your watch charged for first hour of setting up and just keep retrying to download the updte, it will eventually run and ask you to install fter a couple of power cycles and screen glitches. Trust me the wear os 3 software mkes the watch and fossil app feature so much better and user friendly, especially with the customizations available."
Quaxo,"awesome design and quality, fast response and great battery life, lasts almost 3 days with battery saving mode, it has poor compatibility with iphone, sometimes losing connection to the iphone and needs reconnect manually, otherwise watch is great option, has 1000 of great watchfaces , health tracking and more..."
donna bullard,"If you want to be able to fast charge your Fossil smartwatch this is the one to get! Yes, its more expensive but, this is a case where I have yet to find an equivalent generic fast charging cable. This is one of the times that paying extra for an OEM charging cable is the best thing to do. I have been using it for a couple of weeks and have not had any issues."
DAVID,There are 2 things that make this watch unusable1. The charging system that it has is the worst you have to have the charger on it just right or it doesn't charge it will say it is but then doesn't and from what I have found online alot of people are having the same issues and not to mention that alot of people are reporting that the charging cable that they got is also faulty.2. When the watch died on me the first time the only way I was able to get it to reconnect to my phone was a full factory reset and I had to go through the setup againAll in all I don't suggest this watch to anyone all the videos I watched about this product said it was a great watch but like I said don't believe the hype
A_Skee,"After waiting a long time to pull the trigger on a smart watch,  low and behold Fossil came across my search engine.If you grew up with Fossil watches,  you won't be disappointed with their smart watches. They're what you grew up to love but are even better now.  If you don't mind, which I do,  having basically a ""chip"" on your body.  You'll like this watch."
Mike O'Reilly ,"Reading these reviews, it is clear not everyone knows how to use their smartwatch, which means updating their device. So before giving my review, I will use my review to educate people.First, plug your smartwatch into your charger. Tap the top of the screen and swipe down. Next, tap on the gear icon. Tap the bottom of the screen and swipe up until you see ""system,"" then tap on it to select ""system."" Tap the bottom and swipe up again until you see ""about"" and then tap on it ""about"" to select it.  Tap and swipe up (again) and select ""System updates,"" and install the available updates.  Your smartwatch will reboot, AND you will need to repeat this process until there are no more updates.Fossil, like any Android device, is not without its partnerships. Unfortunately, that is part of why the battery may drain faster; for example, you do not need two (2) heart monitoring apps. The excellent news is Fossil had the foresight not to lock in those bundled apps, and you can uninstall (remove) them safely.To bring up the list of installed apps, quickly press the middle button. A long press will bring up Google Assistant, so be sure to press fast to bring up the app menu instead. Next, select ""Play Store,"" and within ""Play Store,"" swipe down to ""My apps."" Select the app you may wish to uninstall (remove).  You can always reinstall (re-add) if you change your mind, and the system (important) apps are protected and do not have the option to remove, so you have nothing to worry about and can do this safely.In the Wear OS app (on your phone or tablet), you should also disable any notifications you do not need to be sent to your smartwatch. My phone already receives a lot of notifications, and not all of them do I need to be passed onto my smartwatch. This, too, can save battery power.Now my opinion is Fossil did an excellent job of making a smartwatch. Although this is the 1st smartwatch that I own myself, I have experienced using a few other brands (Apple, Fitbit, Samsung, Amazfit). The truth is the technology, no matter if you use Android or Apple, is not perfect. For example, if I wake up but remain lying in bed playing with my phone, it may still be counted as ""sleeping.""  And if I try to measure my exercise inside my house, taking 100 steps may be counted as only 80 because the GPS and step counting are not perfect if you remain in a confined space. This is the same for every brand smartwatch I have used; there is a small margin of error. If you are expecting absolute perfection, the technology, in general, is not there.That said, Fossil's battery, when you disable the ""always-on screen"" (located in the display setting), is suitable for well over a day with all the features enabled. The smartwatch is also durably made of solid stainless steel with a sold screen. They did not go cheap on the quality of the watch. I even took a long warm, soaking bath, going a bit above the swim test, and my smartwatch works fine. Fossil also supports both Google Assistant and Amazon Alexa, so I have the best of both worlds.Overall, I am satisfied with my Fossil smartwatch."
Derrick,"I resisted entering the smart watch market as not a big fan of watches.  New job changed that need so this watch seemed to meet the need of what basic functions I needed, fit the nicer look of my office attire requirements, and looked less gimmicky than other recommended watches.Two weeks in and I am liking it over all. Battery life hasn't been an issue for me as not using the heart monitor option, and the always on screen option.Still not 100% sure if Fossil control or Wear OS3 is best app for controlling the watch. I struggle finding a lot on that topic that is helpful instead of a bias complaint post.Went ahead and added screen protector recommended when I purchased watch.So far pleased with my investment"
Adam Howard,"This is a great looking watch that delivers substance too. It looks cool and more stylish than most other smartwatches, and it works beautifully. Great interface and some nice screen display options to customise the appearance.Non problems syncing with iPhone and super easy to preview messages - ideal for discreetly checking things during meetings.We bought a leather strap elsewhere as couldn’t easily find one to match via Fossils Amazon page, and the leather is super comfortable and looks great with the smoke coloured watch."
Kevin,"I added a 42 mm adhesive bezel to hide most of the black border around the display - I wish the display would just go to the edge of the glass. Forget about leaving the display on all the time, the battery won't last 24 hours like that. Otherwise, I'm very happy with it so far. Finding out how to upgrade to Wear OS 3 was slightly tricky. You can't use the app to do that! On the watch, go to Settings, then System, then System Updates. The face in my photo is from Watchmaker. You can also use Facer and other apps to get more faces. Overall, it looks just like my real dive watch now that I added the adhesive bezel (Fossil makes real dive watches, so it would be nice if they offered nicer bezels than the one this came with)."
Kath Campbell,"Watch came in a sealed box but was PIN locked upon turning it on. I had to contact Fossil support and explain the situation to them. They gave me instructions to factory reset the phone which required going into the watch settings which was impossible with a PIN. After wasting 20 minutes talking to Fossil support, I finally stumbled my way into the bootloader and found a way to reset it there the support person didn't seem to know about and I couldn't find online.To factory reset without the PIN: When the watch is off, hold the two outer buttons then press and hold the power button. Hold all 3 until the watch turns on and the bootloader menu comes up. Select recovery mode, then swipe up until you see the option to wipe all data and press and hold the power button for 2 seconds.The watch itself is nice. It's pretty heavy and feels durable. The ""leather"" and silicone strap it comes with feels kind of cheap though, but is easily exchangeable with most any 22mm watch strap. Despite the symmetrical design of the buttons, the Fossil Gen 6 does not support screen flipping for lefties who want to wear it on their right wrist."
