Reviewer Name,Reviews
Grace,"My review is based on observations after one month of ownership. I'm not a typically active person, so I don't need to monitor my exercises, but I really like the statistics about my body (sleep, bpm, etc.). I owned a simple health monitor and decided to upgrade to a decent start watch with the parameters I need. I tried 2 other brands of watches (AmazeFit and Huawei) but they didn't meet my expectations. I was skeptical about this watch because I don't see many products of Garmin to be popular.Anyway, my watch arrived and I was pleasantly surprised with its appearance, the app and its menus are not perfect I would admit, but one could manage to get to the point that what is displayed on the screen is acceptable. One very annoying thing that was the most apparent from the get-go is the alarm, it rang at 6 AM, and though the screen suggests that the top button will turn it off and the bottom will snooze it, in reality, both buttons could only snooze the alarm, so after a couple of irritating hours with 30 snooze cycles I contacted Garmin Customer Support at around 1 PM. At this time I felt that I would like to return the watch, but since I've returned 2 other watches I really wanted this one to work so I could stop researching what to buy and learn a new manual every 2 weeks.  Customer service was helpful but instead of resolving the canceling and snoozing the alarm I got to the point where I could turn off the alarm from the clock menu with the only caveat that later you have to remember to turn the alarm back on or it work the next time. I did reset the watch and charged it completely as the CS person suggested, but nothing changed. At this point, I wanted to give it 3-4 more days to see how I feel with the device and I was determined that most likely I will return the watch. A couple of days later by mistake, I figure out that if I hold the touch screen with a moist finger (it works around 40% of the time with a dry finger) and then press the top button the alarm will turn off, so I finally thought that I have a watch that I would use in the next couple years because I got used to it.Unfortunately, after more than one month (1 month and 3 days), I noticed that my watch has paint chips already, so I don't like it as much anymore :) I'm not very active, I'm an engineer that mostly writes on a computer, I didn't put this device on a test, instead it was cover under my sleeves and turns out that the black coating on the metal is not galvanized but painted instead and the paint could come off easily. I don't know how much more durable the other watches are, but I don't find this very acceptable, but I have to stick with the device since I passed the window for return with 3 days. I guess the paint will continue stripping until it becomes a white metal watch with a black strip.In the end, I would say if you're going to use this watch in the woods only and don't care about aesthetics and how this device will look (look at the picture), this is a great watch. If you think you need a sleek smartwatch on your wrist during the day, I would suggest otherwise."
Victor Organa,"I had a Samsung Gear S3 for 3 years before buying this watch. The S3 was a good watch, but so many of the fitness functions were flawed. It had poor GPS tracking so my runs would come out with shortened distances, and even though it had weights and other workouts, I couldn't build a full workout program.After watching many video reviews, I decided to switch to the Garmin Venu 2. The build quality is great and the watch is actually a little slimmer and lighter than the Samsung. I found that Garmin had several different coaching programs so I started one for a 5k. I've been working through it for 2 months now and I'm really enjoying it. It does a great job of pushing me hard enough, but giving me recovery time to get stronger. I haven't been able to run this well in a long time so it's really a great feeling. On top of that, I built my own custom 3 day split for weights. When starting a weight workout, it shows my first exercise, amount of weight, and how many sets and reps. It counts the reps as best it can although some movements don't involve your watch arm so it will be off. You click a button to end the set and it starts the rest countdown that you set up in your program while also giving you a simple menu to adjust the amount of reps and the amount of weight that you did on that set. Tracking the rest time is awesome and keeps me from getting distracted and off pace. It's a fantastic companion for weight lifting and I'm really enjoying having it.The battery life is simply awesome. I'm tracking either weights or a run almost every day and I'm getting 9 days of battery life between charges. My Samsung watch started at about 3 days of battery life and has decreased over time to about a day and a half. It does have a proprietary plug so I have to be careful not to lose the cord. USB C would have been nice, but Garmin has been using this plug for a long time so it is easy to find replacements online.I've paired wireless headphones to the watch (Samsung Buds) and I listen to Spotify. They work great and don't have any drop outs.I'm a big fan of having a lot of complications on my watch face so I can get a lot of information with a quick glance. The default watch faces were just okay, but Garmin has a store with more options. I'm currently using a free one called ""Clear and Powerful"" and I'm obsessed with it. It has a nice clean style while still providing a ton of data (in addition to the time I have date, sunrise/sunset, steps, floors, battery, altitude, temp, and moon cycle).Sleep tracking is great and very accurate. It is useful information and they pair it with a body battery meter that shows how rested and ready for workouts you should be. There are lots of other graphs and tracking that it does for heartbeat, oxygen, and breaths per minute. It's all well laid out and not overwhelming.There are a few small drawbacks. There's no speaker or microphone on the watch so you can't take calls directly from it. You also can't activate an assistant. Besides those specific areas, the watch shows me all of my notifications and I can see and use canned replies to texts. I almost always want to use my phone for any real replies so this is fine for my needs. I did have a few times in the past when I took a call on the Samsung watch. It was convenient, but again, not a deal breaker for me to not have it as I'll answer the call on the Buds or on the phone itself. The watch will still show who is calling and allow me to decline or answer from the watch.So over all, a really great watch. The smart watch features are enough to cover making sure you don't miss calls, texts, and notifications, and provide a lot of data on the watch face. The battery life is amazing and it's really nice to know I could go on a trip and not even have to worry about charging it for the entire time. The running coach is very good and the weights workout creator is easy to use, but very rich in features. Anyone serious about fitness should take a strong look at this watch."
Victor Organa,"2 weeks now using this watch. I am very happy. Very good purchase.I exercise every day and all the features available in the watch suit me very well.I do weightlifting, bike, running and other fitness workouts.All statistics are awesome. They are very easy to follow, show a complete status of what the sensors measure over time, and for a long period without charing. So far, around 8 days with full monitoring sensors.The watch is large enough look good and also show large numbers and all the graphs in a good way.Thanks!"
Victor Organa,"The first venu 2 I bought, no activities were tracking, heart rate could never be detected. After some digging on the net, I found it's a pretty common problem. I tried factory reset, regular reset, all the tricks listed, but nothing changed. I ended up exchanging it, and this one works great! Exchange was super easy, Amazon was great with that.My new venu 2 tracks activities, the GPS works awesome, exactly what I wanted!"
Grace,"I'm coming from a Samsung Gear s3 Frontier watch that I have been using for 2.5 years.  The experience on that watch was slowing getting worse.  It was getting very laggy and the battery was starting to die quickly.  It served me well, however.  In my pursuit of a new watch, I almost didn't even look at Garmin.  I was figuring I'd upgrade to a newer Samsung watch.  I'm glad I took the time to research and try a Garmin.I'm a techie and quasi-athlete.  In other words, I like gadgets and cool tech, and I take exercise somewhat seriously.  I'm not a hardcore athlete or daily runner by any means.  I was originally looking heavily at the Garmin Forerunner 740.  It had a lot of cool features and health tracking data for me to nerd over.  One thing I didn't care for was the lack of a touch screen and some health and exercise features were probably overkill for my needs. Enter Venu 2.ProsThe Venu 2, in my opinion, is the perfect balance between a modern smart watch (like a Samsung or an apple watch) and a health tracker.  It has a beautiful, bright color touch screen, and an intuitive user interface.  Coming from the Samsung gear there are two main things that I noticed.  1. ) The weight is significantly lighter on the Garmin.  Noticeably.  2.) The battery life on the Garmin is amazing.  My Samsung needed to be charged every night.  That meant no sleep tracking for me.  It's weird, but awesome to not have to worry about battery for days on end.  It's a game changer in my opinion.  How Garmin pulls that off on a lighter watch, I have no idea.Garmin obviously is one of the best in the business when it comes to health tracking.  I've found to the stats to be pretty accurate.  I have noticed, that exercising on my elliptical, the calories burned is under reported on the watch, but that can be adjusted after the fact in the Garmin Connect app.  Otherwise, health tracking is great. Have respiration and oxygen saturation stats are cool features I didn't have before.  I also like the body battery feature.  On to the app.  The Garmin Connect App is one of the nicest looking health tracking interfaces I've seen.  Samsung health has gotten cluttered and sometimes it's hard to find historical data. The Garmin app interfaces is beautiful and motivating.ConsThe Venu 2 is not without it's faults.  I think it could have a better build quaility, particularly on the glass.  My Samsung after 2.5 years didn't have a scratch on it.  My Venu, scratched on day 1.  I was not pleased.  I have since learned that they do sell screen protectors for the Venu 2 which I would highly recommend.  Also, on Amazon, Asurion insurance is only about 30 bucks which covers screen damage.  Anyway, for $400, I feel like Garmin could use higher quality glass that is more resistant to scratching.  They could also raise the outer bezel just a bit, to make that a more prominent contact point over the screen.  This is where I dock the Venu 2 just 1 star.  I do also wish that Garmin Connect allowed for more third party integration.  My Withings scale for example.  It would be nice if these companies would allow some back and forth with health data.  But I get why they do it.Would I buy it again?  Absolutely.  I love this watch so far.  The weight, the battery life, the interface, the tracking, and the app are all fantastic.  I recommend it with the one caveat of protecting it with a screen protector and possibly insurance."
Guilherme Zardo Selbach,"My objective hadn't been to buy a smart watch...I'd used a Garmin Vivofit for years to monitor my heart rate while exercising on machines that communicated with it at the gym. However, I wanted to broaden my exercise routine; a broadening that would take me away from the machines. So, the objective was to get a device that would communicate with my Polar chest band while exercising. Objective accomplished; and, BOY, did I ever get much more!Having never worn a smart watch, I'd never paid much attention to them. They'd seemed like just another gadget that I really didn't need. However, now that I have it, I really love the convenience of being able to catch much of what my phone brings me on my wrist.As one who'd used the Gamin android app and website to monitor my exercise regimen for quite awhile, the Venu 2's ready interface with both app and website seemed like a natural fit. I was right about that.At the moment, I'm using it daily to record and log my workout results, and it's a very convenient way of staying on top of communications that are coming into me; both text and email. I also like the little prompts it gives to get moving and breathe deeply when stressed. Moreover, it's something of a comfort when I see it congratulate me for having passed whatever goals it's monitoring for me.The battery life is amazing. I haven't pushed it to its limit, but extrapolating what I see in the way of daily power loss, I'm pretty certain that I'd get well over a week's use before having to plug it in. I also like the easy interface with the Garmin app on my PC when I plug it in. It appears as an additional drive, capable of accepting firmware updates and communication with the app while it recharges.Never one to walk around listening to music, I've not yet loaded my iTunes library into it. Nor do I use it to take phone calls via ear buds. Perhaps I'll start using those features down the road; but, at least for the time being, my phone seems perfectly adequate for that.My wife says that she wishes it had a bit of a slimmer profile, but I don't find it all that different in that respect from many men's watches.All in all, though, I'm very pleased with the Venu 2. It accomplishes exactly what I meant for it to do...and much more!"
Guilherme Zardo Selbach,A full recharge can sustain several dayd
Deven R.,Easy to manage your daily activity & manage your health.
Curtis S,"I have (had) many Garmin and Samsung watches over the last 6 years, including the fenix series.I go back and forth on fitness/battery and smartwatch/pretty screen. Venu 2 corrects the pretty screen and battery life is excellent. With 30 minutes of GPS per day and typical settings, text and email notifications, Sp02 turned OFF, I could easily go 6 days. But my typical pattern is use it for 3 to 4 days and charge when it's under 50%. Takes 30 minutes to charge in 50% battery scenario. Battery charging time is around an hour and very fast to 90%.New interface with glances is basically awesome. The old way of swiping through every widget is cumbersome and was one thing I love about Samsung with the physical dial, to quickly scroll through widgets.  The glances are more like scrolling a web page and clicking a link and it makes total sense.I exercise regularly. I have used the typical routines many times. Run, Walk, Cardio, Bike, treadmill, they all work about the same as any previous units. I do like pairing to HR monitor for the HIIT, weightlifting, cardio, but not always. Heartrate accuracy is probably a little better than previous units, but it clearly still gets lost and can be slow to respond on cardio, HIIT and for sure on upper body weightlifting. If it makes you mad and it's not recording your Intensity Minutes because of it, pair it with a chest strap. It's the only way. : - )One thing is for sure, Garmin will ALWAYS be recording something for HR. My Samsung watch will sometimes record HR, stops, starts again, and then estimates the calories based on an algorithm with very little input from intensity or HR.I do love Garmin for the App, the way it tracks calories, and weekly intensity goals. It might overestimate calorie burn a little during workouts, but you won’t get too much extra credit for just being active otherwise during the day.I have taken the “My Day” snapshot a few times. I have been notified my “Fitness Age” is dropping. These are new items on the Venu 2. Probably a little gimmicky, but I am sure it’s a good selling point for some.  I do wish Garmin would add the advanced exercise options from the fenix or forerunner series. I don’t like digging through a bunch of menus to find my VO2 Max. That should be a glance! It makes no sense, and the competitors are putting the V02 Max and other advanced running information front and center now.Last, and maybe the most important for many. Smartwatch. I do have an amazon prime account so it's nice to get that music on the unit ""for included price"". I realize many have Spotify, but I don't, so Amazon Music is nice for me. Although, I don't listen to music while exercising often. The notifications are bare minimum just like what pops up on the phone. It's Garmin, it's how it's always been and it's not the greatest if you want to interact with apps. You can respond with canned responses, but I really like my Samsung and interacting directly with text app and email app from watch. I just get tired of charging the Samsung."
Curtis S,"After months of research and buying a Galaxy 4 classic and sending it back because of short battery life, I finally decided on the Venue 2 because of its long battery life, music capabilities and less than $300."
