Reviewer Name,Reviews
C.R.M.,I bought this product for its features with my phone. The most important being the ECG which does not work correctly and is now useless to me.
mishqueen,I purchased this watch new. It arrived today and although it's a lovely watch I'm questioning if it's a brand new watch. There were no protective films on the screen or back sensor and the film on the charger looked like it had been taken off and put back on. Also it was dead.... never bought an electronic that was completely dead out of the box. I charged it to 100% and in the time it took to set it up the battery was at 80% (super concerning) and it had someone else's steps and health info on it. I buy everything new because hand me downs just aren't for me and I'm a little disappointed. Buyers beware!
Patricia V.,"Needed to turn off a lot of functionality to get adequate battery life. But at the end of the day, this watch is a banger. Looks great and is extremely functional."
Lindsie,Wish it came with a better user's manual to show how to use and add apps.
Lindsie,"                    The media could not be loaded.                 Fits great on my small wrist, great battery life and tracks my steps better than my old Samsung fit.Was concerned about the white band but some alcohol on a cotton cloth brings it back to almost new.There is some slight discoloration at the clasp from wear so ill be ordering a black band but overall, very happy with my purchase!"
Gfam,I love this smart watch. I have not become as familiar with it as I want but I am learning.  It comes with no real directions but you are directed to a website.  I would purchase Samsung Galaxy smartwatch again. I also have a Samsung Galaxy phone so that factored into my purchase of this watch.
Pamela B.,"My wife and I both purchased this watch and we love it.  I'm in construction and really rough on everything.  So far it's holding up well, get a rugged case and you're good to go. So glad samsung went to wear os it's so nice that we have access to all the development."
Racheal,"Just got this yesterday. Bluetooth version. Seems very good. I have a Pixel 6 Pro, and as I understand it, I need some available hacks to get some health features to work with my non-Samsung phone. But I don't care very much. I bought it as a watch and for notifications and perhaps some phone calls. Phone calls seem fine. I use Google Voice as well, and the way I have that set up, I have to press ""1"" on the keypad to answer a Voice call. I CAN do this on the watch.It was on sale (price has already gone back up to around $200)."
Racheal,"I love this watch.  All the apps and options, all the faces you can use with the different designs and info you want on the face.  I like having the time, steps, weather and date on mine, but you can change it to so many other options whenever you wish.  This is the first smart watch that has connected efficiently to my Samsung phone without it being painful and I get all my calls, messages, calander events, absolutely everything on my phone.  I love the phone!  Here comes the BUT...and it's a big issue.!!!  The battery doesn't even last a day.  Maybe 20 hours, if you use the apps a bit.  What a pain.  I haven't decided what to do yet.  Because the other big plus for me is this is also one of the first smart watches, other than Fits bits, that doesn't use nickel or cheap metals in the watches that I react to and have to send back.  I'm highly allergic.  And Fits bit can never get their Smart Watches to connect to my phone and keep giving me the run around and telling me to call here and there.  But their batteries last FOREVER!  So inconvenient to charge a watch up throughout a busy day...any suggestions?  So sad about this, why can't they have a better battery on such a great watch???"
Betty,"This is my un-boxing review. Will add more input, after more time to use it.  Bottom line, it's nice size and weight, glass is responsive, two button operation on side is very intuitive.  I have been researching Smart watches, for a few weeks, looking for extra features like heart monitoring, sleep, and the basics like steps, etc.  I use a Kids GARMIN, so you know, I usually keep things basic, but functional.  Garmin is what all the runners recommend.  But, Samsung Galaxy Watch 4 kept popping up as having what I needed, with some nice extras, like text on the watch!  Then,  I needed to upgrade my phone, so the Samsung camera quality and price point brought me to Galaxy S22.  Which naturally led to an easy decision to get the watch as well, for smooth compatibility. It's nicer than expected quality.  The Galaxy Watch 4 (40 mm) is just the right size, as I have a smaller wrist, and the 44 mm would be too big!  The charger sits flat, and magnetic connection to the watch back is crisp.  It arrived about 45% charge.  I also spent $ on the Samsung charger plug, so the USB plug 15w, was a perfect match.  The phone with use the c connection, at 35w.  Samsung really is an upgrade, bit I was expecting less, and received more, when it comes to the watch!"
Collin m. Bean,Si dura el dia de bateria
Peter Jay,I love the watch.  Not fond of the fact that i have to charge it once every 24 hours or less!
Rebecca J.,"Apenas lo estoy utilizando y la batería no apenas dura un día y medio sin mucho uso, solo conectado al bluetooth del celular. En el apartado de sueño no creo sea tan certero como el Fitbit Versa que usaba."
CatsMeowMomma,"                    The media could not be loaded.                 Very good watch is not only stylish but also helps you  to keep track of everythig like emails, messages, WhatsApp and more like your health, sleep and weather.All this connected with you cellular phone."
CatsMeowMomma,"I have used Android Wear type watches in the past and they were under powered in my experience, so I was a bit hesitant. I have also used an Apple Watch and been pleased with it. The Galaxy Watch 4 was at a great price and it has done very well. Battery life lasts all day for me and the watch interface is responsive with no lag. I think that the step count is a bit on the high side. The integration with Samsung apps is good as you would expect."
C.R.M.,Love the watch but the battery drains fast when you play with your watch to much
mishqueen,"I like the size, the band, the protectors exchangeable, the clock configuration, and .....I do not like is after the 3 months nobody can hear me when they call me or I call them.  Now I cannot return  it."
Lubdy G.,Easy to set up and use.
WillowMoon,I really like the watch but it don't even last 1 day without dying.
Isabel,"Been wanting one for a long time and when it went on sale during the holidays I jumped on it. Only con is probably battery life, which in my opinion isn't that bad. I have to charge it once every 24 hours for around an hour. Get some replacement bands for it when you order. The one that comes with isn't that great."
Deya E.,"Poca duración de la batería, cargarlo a diario"
Deya E.,"I needed a new watch, and saw this one which was on sale, so read some reviews..the one gripe was the battery, though most people said their phone has to be charged every day also. I bought the watch and have not been disappointed. It works really well, and yes, I do charge it when I charge my phone at night. I don't have any interest in wearing my watch when I go to sleep..so..I gave it 5 stars."
satisfied,"Poor product description. Ad indicates you can call and receive calls, but Samsung support says this model canot receive incoming calls. It would help if Samsung tech people provided feedback to the Q&A questions. They never do so and in many cases customer feedback was conflicting.  After several chats and calls to support I was unable to obtain the correct user manual.  You have to double tap screen or start button to get apps such as phone, which often doesn't work.  Instructions provided by their techs as well as in the Wear app indicate the phone app is either on the face or you slide down on the face to get apps, which may be the case on other Galaxy4 watches, but not this watch.  The delays and failures to bring up the phone is unacceptable when primary use is for medical alerts.  I gave up and returned two of these to Amazon."
zoe,Returned
lisbeth Howerton ,Like wearing your phone on your wrist except it doesn't have all your apps.
