Reviewer Name,Reviews
Frogroast,"I have been looking into this watch for a bit as I like the looks and size of the piece. I finally made the purchase as the price was right during Prime Days. It was shipped and received promptly so that was good. Then I ran into the issues. I have a Google Pixel that I was pairing to so I thought that the Wear OS would sync right away, unfortunately that was not the case. After roughly three hours, many resets, deleting and reloading the apps I was able to connect. It did seem to perform well and the resolution was very clear.I used this for several exercises over the few days I had it. The first activity was kayaking, There was not a specific kayak sport in the activity list so I selected rowing. I was surprised that this activity did not use the GPS rather it only tracked the time.I then used it for a bike ride and the GPS was enabled when using that activity feature. After stopping the activity when I returned home it took quite a while to sync with the third party Strava app. Reviewing the stats of the ride the GPS track was very scattered. The track did not match the ride. Day two I decided to run this and my old watch to compare the results. Again, the TicWatch track was very scattered and didn't match the actual route. My older watch tracked consistent to the actual route as well as previously loaded routes. I was also disappointed with the in activity display as key features were not prominent to view.Having encountered these issues in the first three days soured my opinion and I decided to return and look to a Garmin equivalent (Venu 2). We'll see how that turns out.So, pros and cons from my short time with this watch""Pros:- Look and feel - It is a nice looking watch with a big face and low profile.- Screen resolution- Answering calls was nice, but not a deal breakerCons:- Set up, this could have been an issue just for me but it did not give a first impression- GPS tracking was not accurate- Water rating - This wasn't a deal breaker but a few of its competitors have better ratings- The need to run two apps (Wear OS and Mobvoi) is a bit clumsy and disconnected.I'm giving it a middle of the road rating as it just didn't work out and make great first impressions for me."
superbrain,"Mobvoi has outdone themselves again with the new Ticwatch 3. I've been using Ticwatches since the original Ticwatch and manages to maintain all of the cutting edge features with the Ticwatch Pro 3. Finally an ambient display which dramatically saves battery life and tells time!The battery life easily lasts me throughout a full day (usually lasts about 2-3 days depending on use) with the standard sensors and moderate use. The watch itself is extremely lightweight and very comfortable. Hardware holds up well since the watch is responsive and have no experienced a single hiccup. Screen is sharp and looks great, and the ability to take calls with the built in speaker and microphone make it the perfect all rounder smart watch.All the sensors seem to accurately report metrics which may be of interest if you're into that kind of thing, the sleep monitoring functions are also extremely useful which expand its usefulness as a 24/7 health and fitness utility.Also the watch looks really sexy."
jack,"I bought this to upgrade from my perfectly capable Ticwatch E3.This feels faster, battery lasts longer and the additional software updates are really good. The dual screen feature is great.The screen is larger (at least things like the pin keyboard seems easier to use) and is ready to be read in bright sunlight.  Case seems tough and the strap is thicker than the E3.I would only make one suggestion to the Mobvoi team: include more than one charging cable, nice to have a spare at the office or in the travel kit even if the battery lasts a long time.This watch seems to be a capable Wear OS device.  I am hoping it gets the version 3 OS soon."
Nicholas Su,"I've loved a few previous models from TicWatch and this one is no exception.  It is noticeably thinner than the previous model.  This one does not have a compass and does have a thicker band.  But it still has great battery life, which is why I picked TicWatch originally.  Even with the always-on screen (but with tilt-to-wake turned off), it usually uses less than 25% of the battery from when I wake up to when I go to bed.  This is with not-heavy use, but using the timer once or twice per day, paying for things at the store using the watch, checking phone notifications and reminders throughout the day from the watch, etc.  As an experiment, I didn't charge it one night, and the battery was still over 40% at the end of the second day.  The watch is generally very responsive to touch gestures (but the unlock pattern sometimes doesn't respond at first, for a couple seconds)."
Nicholas Su,"With so many other informative reviews I'll keep this simple.Overall, this is a fantastic smartwatch, and the best I've ever owned. I have most of the constant sensors turned off. Pedometer turned on, and notifications from texts and other apps on. Battery lasts about 2 days on average. Way better than other watches I've had that wouldn't even make it through the day. Essential mode is fantastic. Went 3 days on essential mode and it was still at over 80% battery.WARNING: IP68 rating is great, but apparently is not meant for the ocean. I swam in the ocean a little on vacation, with NO constant or deep submersion, and now my speaker is damaged. Still makes noise, but it's all metallic and sounds like a tin can rattling.Great watch, take it off if you go to the beach. I wish they clarified the waterproofing a bit more. I figured if you can swim a while in the pool with it, a little bit of ocean swimming would be fine. Guess not."
Sean,I have used Ticwatch since the original was on kickstarter. It’s arguably the best google wear watch you can get. It’s durable and has good build quality. It has great software and it compliments google wear OS very well. All in all I highly recommend this watch.
E. Jacobs,"Had the original Tic watch pro finally upgraded after 3 plus years and it's well worth the upgrade. The back lit essential screen is a godsend and was greatly needed. Response is pretty snappy.. Way more snappy than what I had so to me it's really snappy. The heart rate monitor is solid. Overall, it's a good choice and definitely an upgrade for me."
R. Swope,"I have mixed impressions about this watch.Pros:1. Battery life is amazing, it easily runs for 3 full days with GPS on every day for about an hour.2. The 2nd display is very visible under any light conditions and with customizable backgrounds (you can pick, I believe 8 or 9 different colors) you’d have plenty of choice3. App is relatively user-friendly, no complains there as wellCons:1. Big one for me – the watch constantly skips night sleep recording, on average once or twice per week. So, if it’s important to you – pick another watch.2. It still runs WearOS 2.0 with all the promises to get upgraded to 3.0 in “the second part” of 2022. I believe, eventually it will. WearOS, at least in theory, promises more battery life by optimizing the background apps usage.*I received this watch as part of a promotion for free. But I expressed my true observations and impressions"
Ryan H,"So this is my third ticwatch and by far my favorite. Going back to the pro with the overlapping always on display has been such a welcome change! After first charge I wore it for 2 days straight without ever getting to essential mode, which will increase longevity of battery. The screen is vivid and responsive, love the backlit always on display, a great addition. Now with 24 hr pulse and blood oxygen monitoring on the battery was at 40% after two full days and a night of wear, which is great. The sleep monitoring visibility isn't great on watch but once in the app it translates very well, easily viewed for daily, weekly and monthly. Overall the app is a great companion to track activity, sleep and heart rate. Coming from the TicWatch E3, which I was a decent watch, I'm thrilled with this new device. Being the Pro it does feel slightly bulkier right off but not terribly and it feels great being worn. Tic exercise has always been a pretty good app and with the monitoring on, that app kicks on automatically when heart rate starts to elevate so you don't even have to put effort into tracking your exercise. The one negative I've had with last couple of TicWatch products I've had is the charging station. It's not something that sits flat on it's own or fits around watch so you literally need to place it on the watch to charge and train the cable to work for your needs. Minor issue for sure but that charger is a dinky little thing. I'm really impressed with the new TicWatch Pro 3 ultra and would definitely recommend."
D. Orr Jr.,"I was a previous Samsung Galaxy Watch user, and before that i had a Moto 360.The first thing i notice when i got the watch is that the feeling wasn't that premium like my previous smartwatches, mainly because this one have a plastic body and those had a Stainless steel  construction.I have several watchbands to switch from my previous ones, but i feel like i cant be switching them that much, because the pin holes are plastic and the border can be broken and that's the end of the watch.The addition is the second secreen it's a great feature because you can save a lot of battery and still be able to look the time all the time instead of an empty black screen, or the need to use an Always On display face. The only downside that I've found with it, is that it adds a silver like layer on top of the amoled screen, so blacks don't look deep black like they have to, but more like satin black. Still, that's nitpicking for a downside.Battery life is good, not great. I'm use to a 3 days battery life with my previous Galaxy Watch, and this one have around the same duration. This was the first reason why I don't upgrade to a Galaxy Watch 4 Classic; that and because it's smaller and I like big watches.WearOS is great, you have a lot of apps and watchfaces, and I was able to use my previous ones with the same facer and watchmaker apps that I was using on the GW with Tizen instead of Wear OS.Call quality is good, and the ability to record voice notes on it is great. Volume is adequate and the quality of the mic is good. You can hear and be heard without a problem.Notifications are customisable and your able to answer messages from the watch via predefined texts, writing your own, or using google voice typing wich is the best, since the keyboard on it, it's pretty small and I have big hands.Another downside is that it uses a magnetic charging cable instead or QI charging, so no wireless charging on the go with my phone. But the cable is good and easy to find 3rd party cables that fits.So far so good. I installed a stainless steel band and it looks more casual that sporty,Besides that, i think is a nice watch with a cool design, and I'm waiting for the Wear OS 3 update once Samsung's embargo finish.Can't tell that much about the sensors, because I don't use them a lot, but on my testings they were accurate, also the GPS.Updatev 07/08/2022Only downside so far its that it doesn't show WhatApp calls on the watch screen. Seem like call support it's only available to regular operator calls and not apps calls like Meet, Teams or whatsapp calls.Also that we're half way 2022, and we're still waiting for the Wear OS 3.0 update.Update : April 7.Since last week, the essential mode it's not working anymore, so i had to activate the ambient mode to have a constant hour face.2023 and Still, no Wear Os 3...Just like MKBHD says: NEVER BUY A PRODUCT BASED ON A PROMISE OF A FUTURE FEATURE.Mi 1st and last TicWatch. Going back to Samsung... At least the last one died after almost 3 years of use. This one doesn't have a year and it's already failing. Plus, the charging cable it's a little finicky. It connects and sometimes won't charge."
