Reviewer Name,Reviews
K. A.,"I was extremely skeptical of the Apple Watch when it first hit the market. To be frank, I thought they were pretentious and unnecessary. Over time, I saw how my friends and coworkers enjoyed theirs, so I decided to jump on the bandwagon and I am so glad I did. I will be the first to admit I was wrong.Like a fair amount of the American population, I have ADD. Also like a fair amount of the American population, I sit behind a computer from 8-5. I would hyper focus and go hours working on a project without standing or taking a break. With my apple watch, it quietly and quickly vibrates every hour to remind me to stand up, and I will walk a lap. Then come back to my work. I like the challenge of meeting my goals (which are adjustable) and I can “compete” with my friends in different states for bragging rights regarding meeting goals.I also do not “doomsday scroll” on my iPhone at nights as much, because I can leave my phone in another room knowing I won’t miss a text or a call due to the texts/calls coming through on my watch.Overall, as ridiculous as typing it out is, this watch has been a good tool for my mental and physical health. I’ve lost weight (and kept it off). I will cave and admit that this watch is great."
Sparky,"I finally bought an Apple watch because I've been wanting to improve my mental health with more physical activities. At first I was annoyed by all the notifications I received on the watch; it's essentially a mirror of your smartphone. After I turned most of them off except phone calls/texts it was much better to use.While the battery life is not as long as other competition out there, there are some features that I think make the watch worth it:1. Fitness+- LOVE THIS APP! I'm currently trailing it free for 3 months, and it's a game changer. I love how there is new content weekly for different exercises like kickboxing, pilates, HIIT, yoga, dance, etc. I have a smart tv and stream the videos on there. I get to see my heart rate and calories burned LIVE, so it motivates me to work harder. You can also filter the exercises by duration, music genre, fitness instructor, and more! I will definitely be keeping the subscription after my trial is over; it''s definitely worth it.2. Daily/weekly challenges with myself and friends- I enjoy the rings concept and connecting with my friends who also have an Apple watch. I get notifications of when they complete a workout, which encourages me to exercise myself.3. Find My- I use this app constantly to find my phone in another room.4. Direct streaming to my iPhone- it is nice to see my stats on my phoneOverall, if you're considering getting an Apple Watch, do it. I selected this one because I don't need the data option, and this is a budget friendly enough device for so much value."
K. A.,"I've had several Apple watches and so far have been happy with them.  My one complaint is that I HAVE NO WAY TO CHARGE THIS THING, and thank goodness I have my charger from the previous watch.  While the charger it comes with looks just like the others, the end of it IS NOT USB.  It is much smaller and I have absolutely NOTHING in my possession that I can plug it into.  I thought it would plug into my phone, perhaps, but it doesn't fit.  I have an Apple computer but there are no ports that match the watch charger, either.  So, I'm SOL on using the charger it came with until I figure out what to do.  I realize all I need is to perhaps buy something but I'm not willing to go there since I can use my other charger which works fine.  As for the watch itself, I really do like it.  I appreciate the extra storage space and it definitely works faster.  I can store more music in it and the large variety of watch faces is a plus for me.  There are more than enough apps on this and I turned off the ones I know I'll never use - some are ridiculous - such as, it senses when you are washing your hands and starts a 20 second timer.  That's too much ""big brother"" type stuff for me - I don't need help.  I would recommend that if you are replacing this with an older Apple Watch that you choose the manual setup and don't allow it to automatically set based on your old watch.  This is how I was able to catch what I would consider too much nosiness and turn it off.  I mainly use the watch for running, listening to music, catching phone calls and emails, etc...just daily stuff.  So I don't need anything over the top.  However, for the average person, this is a great watch with more than enough functions.  All of the bands for my previous watch fit it as well.  Just know that if you purchase this, you won't be disappointed with the watch itself, but beware that you won't be able to charge in a USB.  I don't know what Apple was thinking on that one.  Finally, there are NO charging instructions or explanations."
Crystal Jimenez,"Love the Apple watch and it has all the features I am looking for.  The weight and look is perfect for me.  The only dislike is that I have to recharge in the middle of the day or early evening in order to track my sleep patterns.  With a longer battery life, I would truly be able to track my steps throughout each and every day as well as moniter my sleep."
C Miles,I bought this watch for my girlfriend who is a nurse. She has told me it has come very valuable to her at work to setting timers to take care of patients! It’s worth every penny!
Train4u2,"I absolutely hate apple products but my mum loves apple. Loves her iphone and always wanted an apple watch. So finally I broke down and bought her this one for a Christmas present last 2022 and she absolutely loves it. Now, seeing as how I do not have not use it I can not really give an indepth review on the product, 4 months later, it is part of her daily kit and routine. So, (shudders) 5...stars. 😖"
Sean,"Watch works fine, like all smart watches. Wish battery lasted longer.  Also wished it had a blood pressure monitor.  Have another smart watch, which was a third of the cost of the Apple Watch and it included a blood pressure monitor.  No issues with this watch so far."
Moxie,"The face is larger, battery charges faster and all bands from original 38mm fit perfectly. A great affordable upgrade."
Mark P.,I had an Apple Watch Series 3 for 4 years up until I decided to upgrade to this! And I love it! I love the size of the 40 mm because it’s comfortable on my hand and it works very well and charges super fast!
sewjudy,Idk why it took this long to finally get one of these . So easy to set up. Looks good with the different band we got here on Amazon the apple bands are just way too much money for what they are. The battery life for my wife is OK it lasts more than a day but we charge it every day around the same time to make sure it doesn’t run out.
